=== PROJECT MIGRATION AUDIT REPORT ===

---------------------------------------------------------------------------------------------------
Project Name                             | Location Name             | Complaints | Current    | New Status     
---------------------------------------------------------------------------------------------------
1500 MW Bhavali PSP                      | Accommodation Block 1     | 0          | Active     | Active         
1500 MW Bhavali PSP                      | Accommodation Block 2     | 0          | Active     | Active         
1500 MW Bhavali PSP                      | Camp A                    | 0          | Active     | Active         
1500 MW Bhavali PSP                      | Camp B                    | 0          | Active     | Active         
1500 MW Bhavali PSP                      | Camp C                    | 0          | Active     | Active         
1500 MW Bhavali PSP                      | Dining Area               | 1          | Active     | Active         
1500 MW Bhavali PSP                      | Kitchen Area              | 0          | Active     | Active         
1500 MW Bhavali PSP                      | Toilet Block A            | 0          | Active     | Active         
1500 MW Bhavali PSP                      | Toilet Block B            | 0          | Active     | Active         
1500 MW Bhavali PSP                      | Water Tank Area           | 0          | Active     | Active         
Agra Metro                               | Accommodation Block 1     | 0          | Active     | Active         
Agra Metro                               | Accommodation Block 2     | 0          | Active     | Active         
Agra Metro                               | Camp A                    | 0          | Active     | Active         
Agra Metro                               | Camp B                    | 0          | Active     | Active         
Agra Metro                               | Camp C                    | 0          | Active     | Active         
Agra Metro                               | Dining Area               | 0          | Active     | Active         
Agra Metro                               | Kitchen Area              | 0          | Active     | Active         
Agra Metro                               | Toilet Block A            | 0          | Active     | Active         
Agra Metro                               | Toilet Block B            | 0          | Active     | Active         
Agra Metro                               | Water Tank Area           | 0          | Active     | Active         
BARAPULLAH BRIDGE PROJECT                | Accommodation Block 1     | 0          | Active     | Active         
BARAPULLAH BRIDGE PROJECT                | Accommodation Block 2     | 0          | Active     | Active         
BARAPULLAH BRIDGE PROJECT                | Camp A                    | 0          | Active     | Active         
BARAPULLAH BRIDGE PROJECT                | Camp B                    | 0          | Active     | Active         
BARAPULLAH BRIDGE PROJECT                | Camp C                    | 0          | Active     | Active         
BARAPULLAH BRIDGE PROJECT                | Dining Area               | 0          | Active     | Active         
BARAPULLAH BRIDGE PROJECT                | Kitchen Area              | 0          | Active     | Active         
BARAPULLAH BRIDGE PROJECT                | Toilet Block A            | 0          | Active     | Active         
BARAPULLAH BRIDGE PROJECT                | Toilet Block B            | 0          | Active     | Active         
BARAPULLAH BRIDGE PROJECT                | Water Tank Area           | 0          | Active     | Active         
